C1=CC=C(C=C1)N2C(=NN=N2)SCC3=CC=CC=C3F
C1=CC=C(C(=C1)CC2=NN=C3N2C=CC=C3)N
CCC(C)CNCCCC1CCCNC1
CCCNC(C1CC(CC(C1)C)C)C2(CCCC2)N(C)C
C[C@@]1([C@@H]([C@H](O[C@H]1N2C=C(C3=C2N=CN=C3Cl)I)CO)O)F
CC1=CN=C(N=C1NC2=CC=C(C=C2)CNS(=O)(=O)C3CC3)NC4=CC(=CC=C4)S(=O)(=O)NCC#C
CCOC(=O)C1C(CC(CC1=O)(C2=CC=C(C=C2)I)O)C=C(Cl)Cl
C[C@]12CCC(C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4(C3=CC[C@@H]4C5=COC(=O)C=C5)C)N6CCOCC6
CC1=CC(=C(C=C1C2=C(C=C(C(=C2)C)N3C4C=CC=CC4C5=CC=CC=C53)C)C)C6=C(C=C(C(=C6)C)N7C8=CC=CC=C8C9=CC=CC=C97)C
C1CC2(CCC1C2)P(=O)(O)O
CCOC1=C(C=CC(=C1)CCNC(=O)CCCl)OC
C[C@@H]([C@@H]1CCCO1)NC(=O)NCC2=CC=CS2
C1CC2(CCN(CC2)C(=O)CN3CC[C@H](C3)C4=CC=CC=C4)OC1
COC1=C(C=C(C=C1)[C@@H]2C3=C(C=CC4=CC=CC=C43)OC5=C2C6=NC(=NN6C=N5)COC7=CC8=CC=CC=C8C=C7)OC
C[Si](C)(C)C1=C(C(=C1C2=CC=C(S2)C3=CC=CS3)[Si](C)(C)C)C4=CC=C(S4)C5=CC=CS5
CN1C(OCN(C1=O)CC2=CN=C(S2)Cl)O
CCCC[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)[C@H](CC3=CC=C(C=C3)O)N
CCOC1=CC=C(C=C1)OC2=C3C=CSC3=NC(=N2)NC
CCC1CCN(C(C1)CN)CC(=O)NC2=CC(=CC=C2)I
CCCCCCCCCC(C1CSCCN1C)NCC
CC1=C(C=CO1)C(C2=CC=NN2C3=CC=CC=C3)NN
C1=CC(=CC(=C1)NCC2=CC(=C(C=C2)O)F)C(=O)O
CCNC(C)C1=C(C(=CC=C1)F)N2C=CC(=N2)C(F)(F)F
CC1=CC=C(C=C1)CCC(=O)NC2CCN(CC2)C(=O)CC3=CC=CS3
CCOC1=CC2=C(C=C1)N=C(S2)N3C(/C(=C(/C4=CC(=C(C=C4C)OC)C(C)C)\\O)/C(=O)C3=O)C5=CC=CC=N5
CCC(CC)CN1CCC(CC1)C(C(F)(F)F)O
CN=C(NCCC1=CN=CC=C1)NCC2=CC=CC=C2OC
CCNC(=NCC(C1=CC=CC=C1)C2=CC=CC=C2)NCCCCN3CCOCC3.I
CCC1CCC(CC1)NC(=NCC2=CC(=NO2)CC)NCC
C1=CC(=C2C(=C1)N(N=N2)CC3=CC=C(C=C3)C#N)C(=O)O
CC(C)CN(CC(=O)O)C(=O)/C=C/SC
CC1=C(C(=C(C=C1)F)C(=O)CC2=CC=CO2)F
CC1=NC2=C(N1C)C=CC(=C2)C3=CN=C(N3)NC
CC(=C)C(=O)OCC1=CC(=C(C=C1)C2=CC(=C(C=C2)COC(=O)C(=C)C)COC(=O)C(=C)C)COC(=O)C(=C)C
CNC(=O)C1CCCN(C1)C2=NC(=NC3=C2CCCC3)NC4=CC(=CC(=C4)N)Cl
C1CN(C[C@H]1N)C(=O)C2=CC3=CC=CC=C3S2.Cl
C1C(CC1(F)F)CS(=O)(=O)NC(CCC(=O)O)CC2=CC=CC=C2
C1=C(NC=C1[N+](=O)[O-])C2=CSC(=N2)NC=O
COC(=O)C1(CCCCCCC1)NC(=O)C(CC(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3
CNC(=O)[C@H]1CN(C2=CC=CC=C2O1)CC(=O)NCCCC3=CC=CC=C3
CCN(CC1=CC(=CC=C1)F)C(=O)CN2N=C(N=N2)C3=CC(=C(C=C3)OC)OC
CN(C)C1CCN(CC1)CCN2CCCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)N
CC(C)[Si](C#C[C@@](C#CCCl)([C@](C#CCCl)(C#C[Si](C(C)C)(C(C)C)C(C)C)O)O)(C(C)C)C(C)C
CC(C)C1=CSC(=N1)NC(=O)CN2CCSC2=O
CCOC(=O)C1=NOC(=C1)C2=CC=C(S2)S(=O)(=O)N3CCN(CC3)C4=CC=C(C=C4)OC
CCCCC(CC)C(=O)[O-].[Sm+3]
CCN1C(=C(C=N1)CN(C)CC(=O)NC2=C(C3=C(S2)CCCC3)C(=O)OCC)C
CC1=C(N=NN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)NC3=CC4=C(CNCC4)C=C3
COC1=C(C=C(C=C1)C(CC(=O)NC2=NC=C(C=C2)Cl)N3CC4=CC=CC=C4C3=O)OC
C1=CC(=CC(=C1)NC(=O)CCC2=CC=C(C=C2)Cl)CN3C=CN=C3
CCCCOC1=CC(=CC2=C1C3=C(C2=O)C=CC=C3OCCN4CCOCC4)OCCN5CCOCC5
CCC1(CCNC1)C(=O)NCCC2=CC=NC=C2
CC(C)CNC1=NC(=NO1)C2=CC3=CC=CC=C3C=C2
COC1=C(C=C(C=C1)Cl)CC2(CCOC3=CC=CC=C32)N
CC1=C(OC=N1)C2=CC=C(C=C2)C(=O)N(C3CC3)C4CCN(CC4)C(=O)OC(C)(C)C
C[C@@H](C1=CC(=C(C=C1)N(C)CC(F)(F)F)Cl)N
CCC(CC)N(CC(C)C)S(=O)(=O)C1=CN(N=C1)CCO
C1CCC(C(C1)NC(=O)NCC2CCC(O2)C(=O)O)O
CC1CCN(C1)C2=C(C=NC(=C2)C)CO
C1CC2=C(C=CC(=C2)F)C(C1)(CN)O
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H]([C@@H](O[C@@H]([C@H]3O)CO)O[C@H]4[C@H]([C@H](O[C@H]([C@@H]4O)O[C@@H]5[C@H](O[C@H]([C@@H]([C@H]5O)O)O)CO)CO)O)NC(=O)C)CO)O)CO)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O)O
CC1=C(C=CC(=C1)C=C)C2CO2
COC1=C(C=C(C=C1)CC(=O)N(CCCN2C=CN=C2)C3=NC4=C(S3)C=C(C=C4)Br)OC.Cl
CCCCCCOC1=CC=C(C=C1)[C@H]2N3[C@H](CC(=N3)C4=CC=C(C=C4)OCC)C5=C(O2)C=CC(=C5)Br
CCCCNC(=O)[C@@H](CC)N(CC1=CC=C(C=C1)C)C(=O)CCCN(C2=C(C=CC(=C2)Cl)Cl)S(=O)(=O)C
CC(C)(C)[Si](=C(C#CC(=[Si](C(C)(C)C)C(C)(C)C)C1=CCCCC1)C2=CCCCC2)C(C)(C)C
CCC(CC)(C(C1=CCCO1)NC)OC
CCCN(CC1=CC=C(C=C1)N)C(=O)C(C)(C)OC
CCOCC1=NC(=CC(=N1)N2CC3=CC=CC=C3C2)N
C1=CC(=C(C(=C1)Cl)Cl)CSCCCCl
CCOC(=O)N1CCC(CC1)NC(=O)CNC2=C(C=CC(=C2)C)OC
C1=CC(=C(C=C1F)CNCC2=C(C=CO2)C(=O)O)F
CN(CCCC(=O)O)S(=O)(=O)C1=CC=C(S1)C#N
CC1(CC(C(O1)(C)C)OC2=C(N=CC=C2)Cl)C
CCCN1C(=C(C=N1)Cl)C(=O)C2=CC(=CC=C2)Br
CC1=C2C(=CC=C1)C=C(O2)C(=O)C3(CCCCC3)OC
CC(C)(CNCOC)C1=CC(=C(C=C1)Cl)Cl
COC1=C(C=CC(=C1)Br)C(C2=CC(=C(C=C2F)Br)F)Br
CC1(CC1)NCC(C2=C(C=CC(=C2)Cl)Cl)O
COC1=CC=CC(=C1)N2CCC(C2)CNC(=O)NCC3=CC=C(C=C3)C(=O)O
CC1=NN(N=N1)CC2=C(C=CC(=C2)Cl)C=CC(=O)N3CCC(CC3)C(=O)OC
CC(C)(C)OC(=O)N(CCOC)CC1=CN=C(C=C1)N
CC1=CC=CC=C1OCCNC(=O)[C@H]2C[C@@H]2C(=O)O
C1CO[C@H](CN1C(=O)[C@H]2C[C@H]2C(=O)O)C3=CC=CC=C3F
CCS(=O)(=O)NCC1CN(CC2=CC=NN12)CC3=CC(=C(C=C3)F)F
C[C@]1([C@H]([C@H](C(O1)N2C=C(C3=C2N=CNC3=O)C(=N)N)O)O)CO
CC(C)N1C(=O)C2=CN=C(N=C2N1C3=CN=C(N3)C4CC4)NC5=CC6=C(CCNC6)C=C5
COC1CCN(CC1)C(=O)C2=CC(=C(C=C2)C3=CC=CC=C3)COC4=CC=C(C=C4)C5=NC6=C(N5C7CCCCC7)C=CC(=C6)C(=O)O
CCN(CCN)C(=O)C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
CC1=CC=CC=C1CN2C3=C(C=C(C(=C3)C=N)N)C(=C2C(C)(C)CC#N)C4=CC=C(C=C4)C(=O)O
C[C@@H](C[C@H](CC1=NC=CS1)NC(=O)C2=CSC(=N2)[C@@H](CC(C(C)C)N(C)C(=O)CC3COC3)OC(=O)C)C(=O)O
C1CC2CN(CC1CN2C(=O)CC3=CNC4=CC=CC=C43)C(=O)C5=CC=CC=N5
CC(=O)[O-].[O-]P(=O)([O-])[O-].[Nd+3].[Nd+3]
[2H]C1=C(C(=C(C(=C1C(=O)[2H])[2H])[2H])O)[2H].[2H]C1=C(C(=C(C(=C1C(=O)[2H])[2H])[2H])OC)[2H]
CC(=O)N1CCC(C1)OC(=O)NC(CCOC2CC(C2)CCC3=NC4=C(CCCC4)C=C3)C(=O)O
C1=CC2=C(C=C1Cl)NC(NS2(=O)=O)C3=CC=C(O3)[N+](=O)[O-]
CCCCCCC1C=C(C(=O)O1)C2(CC(CC23C(=CO)C(=O)OC3=O)C(C(CC=CC(=O)OC)O)O)C(=O)OC
CCCC(CCC)NC(=O)C1=CC(=C(C=C1)NC(=N/C=C(/C)\\C(=C)N(CCC)CCC)C)NC(=O)C=C
CC1CN(CCN1)CC2CCC(CC2)OC(C)C
CC=CC1=C(C=CC(=C1)C)OC(=O)C
C1CCCC2=C(C(=N)N(C(=S)N2CCC1)C3=CC=CC=C3)C#N
CN1CCC(=CC1)NNC(=O)C2=CNC3=CC=CC=C32
C1CC2=C3C(=C(C=C2N4CCNCC4)Cl)C(=O)C(=CN3C1)C(=O)O
CCCCCCCCCCCCCCC1=CC=C(N1)C(=O)OCC
CC[C@H](C)[C@H]1C(=O)N[C@@H](CCC(=O)NCCCCCNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(C)C)CO)CC2=CN=CN2)[C@@H](C)CC)CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H]4CCC(=O)NCCCCCNC(=O)CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC4=O)CCCCN)CC(=O)N)CCC(=O)O)CCC(=O)N)CCC(=O)O)CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N
CCOC1=CC=C(C=C1)N(CCC#N)C(=O)COC(=O)C2=CC3=C(C=C2)C(=O)N4CCCCCC4=N3
CCCCNC(=O)C1=CC(=CC=C1)NC(=S)NC(=O)/C=C/C2=CC=C(C=C2)OCC
CC(C1N[C@H](C(=O)N1)CO)C(=O)O
CC1=C(OC2=C1/C(=N/NC(=O)C3=CC=C(C=C3)F)/CCC2)C(=O)NC4=CC=C(C=C4)Br
CC1=C(C=CC(=C1)O)[S+]2CCCC2
CC1=C(C(=NN1CC2=CC=C(C=C2)C(=O)N)C)[N+](=O)[O-]
CCCCCC(C1=CC=C(S1)C)NCC
CN(CCCC(=O)N1CCOCC1)C2CCNCC2
CC1(C(=O)NC2=C(O1)C=C(C=C2)C3=NC(=C4C(=C3)N=CN(C4=O)C)NCC5=CC(=NC=C5)N)C
