,smiles
103,C[C@@H]1CN(CCN1C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C(=O)C5=CC=CC=C5
104,COC1=CC=CC=C1N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
105,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)CCN5CCOCC5)NC1
106,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CN=CN=C5)NC1
107,CN(C)CCN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
108,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
109,CCS(=O)(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
110,CC(C)N1C2=C(C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F)N=N1
111,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=NC=CN=C5)NC1
112,CC(C)(C)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
113,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F
114,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5)NC1
115,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=C5Cl)NC1
116,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=NC=C5)NC1
117,C1CC(OC1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
118,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=CO5)NC1
119,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)C(=O)C5=CC(=CC=C5)Cl)NC1
120,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC6=CC=CC=C6N=C5)NC1
121,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=CO5)NC1
122,CC(=O)N(C)C1CCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
123,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)OCC5=CC=CC=C5)NC1
124,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=NC=C5)NC1
125,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC6=C(C=C5)N=CN6)NC1
