acname,acvalue
Ki,0.617
EC50,0.61
EC50,0.61
ED50,0.61
Ki,0.61
IC50,0.61
IC50,0.61
Ki,0.609
Ki,0.606
EC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.6
IC50,0.59
Ki,0.589
IC50,0.58884
EC50,0.58
ED50,0.58
ED50,0.58
Ki,0.58
Ki,0.578
Ki,0.576
EC50,0.573
IC50,0.57
IC50,0.57
Ki,0.57
IC50,0.5648
IC50,0.56234
Ki,0.562
IC50,0.56
IC50,0.56
IC50,0.56
IC50,0.56
IC50,0.56
IC50,0.559
Ki,0.556
Ki,0.556
IC50,0.555
Ki,0.554
IC50,0.5516
EC50,0.55
IC50,0.55
ED50,0.55
Ki,0.548
IC50,0.544
IC50,0.54
IC50,0.54
IC50,0.54
IC50,0.54
ED50,0.54
IC50,0.54
IC50,0.54
IC50,0.536
Ki,0.534
Ki,0.534
IC50,0.531
Ki,0.531
Ki,0.53
IC50,0.528
IC50,0.5261
IC50,0.52
IC50,0.52
IC50,0.5192
Ki,0.519
Ki,0.516
IC50,0.512
IC50,0.51
IC50,0.51
IC50,0.51
IC50,0.51
IC50,0.51
IC50,0.504
IC50,0.504
IC50,0.50191
IC50,0.5017
IC50,0.50119
IC50,0.5
IC50,0.5
IC50,0.5
EC50,0.5
EC50,0.5
EC50,0.5
EC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
ED50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.5
IC50,0.495
IC50,0.49
IC50,0.49
IC50,0.49
IC50,0.49
Ki,0.487
IC50,0.481
Ki,0.48
IC50,0.48
IC50,0.47863
Ki,0.477
Ki,0.473
Ki,0.471
IC50,0.47
IC50,0.467
EC50,0.467
Ki,0.467
IC50,0.467
IC50,0.4654
IC50,0.465
Ki,0.462
EC50,0.461
ED50,0.46
IC50,0.46
IC50,0.46
IC50,0.457
IC50,0.4528
IC50,0.45
IC50,0.45
EC50,0.45
EC90,0.45
IC50,0.45
IC50,0.45
Ki,0.446
IC50,0.446
IC50,0.445
IC50,0.4432
Ki,0.442
EC50,0.44
Ki,0.436
IC50,0.435
IC50,0.43419
IC50,0.434
IC50,0.4335
IC50,0.43239
Ki,0.431
IC50,0.4309
EC90,0.43
IC50,0.4281
IC50,0.424
EC50,0.42
IC50,0.42
Ki,0.411
IC50,0.41
EC50,0.41
IC50,0.41
Kd,0.41
IC50,0.41
IC50,0.41
Ki,0.404
Ki,0.403
Ki,0.402
EC50,0.4
EC50,0.4
IC50,0.4
IC50,0.4
EC50,0.4
EC50,0.4
IC50,0.4
IC50,0.4
IC50,0.4
EC50,0.4
IC50,0.4
IC50,0.4
IC50,0.4
IC50,0.4
EC50,0.4
Ki,0.396
Ki,0.395
IC50,0.394
Ki,0.391
IC50,0.39
IC50,0.39
Ki,0.39
Ki,0.39
Ki,0.39
IC50,0.39
IC50,0.39
IC50,0.38905
IC50,0.38905
IC50,0.388
IC50,0.3865
Ki,0.384
IC50,0.382
Ki,0.38
Activity,0.38
Activity,0.38
Ki,0.377
IC50,0.376
EC50,0.374
Ki,0.374
EC50,0.372
Ki,0.372
Ki,0.372
IC50,0.37
Ki,0.37
IC50,0.37
IC50,0.37
IC50,0.37
IC50,0.37
IC50,0.36898
IC50,0.36308
Ki,0.363
Ki,0.363
IC50,0.36184
EC50,0.36
ED50,0.36
IC50,0.357
IC50,0.356
IC50,0.35481
IC50,0.354
Ki,0.351
Ki,0.35
IC50,0.35
IC50,0.35
IC50,0.35
EC50,0.35
ED50,0.35
IC50,0.35
Kd,0.35
IC50,0.35
IC50,0.35
IC50,0.35
IC50,0.349
IC50,0.349
Ki,0.347
Ki,0.346
IC50,0.346
IC50,0.345
IC50,0.343
IC50,0.34029
IC50,0.34
IC50,0.34
IC50,0.339
Ki,0.338
Ki,0.337
Ki,0.337
Ki,0.335
EC50,0.33
IC50,0.33
Kd,0.33
IC50,0.33
EC50,0.328
Ki,0.324
IC50,0.3237
IC50,0.32
ED50,0.32
Kd,0.32
IC50,0.32
IC50,0.32
IC50,0.32
Ki,0.319
Ki,0.316
IC50,0.316
IC50,0.316
Ki,0.314
IC50,0.312
IC50,0.311
EC50,0.311
IC50,0.311
EC50,0.31
EC90,0.31
IC50,0.31
IC50,0.31
Ki,0.309
Ki,0.307
Ki,0.306
Ki,0.304
IC50,0.304
Ki,0.304
IC50,0.304
Ki,0.303
IC50,0.302
IC50,0.302
IC50,0.301
EC50,0.3
IC50,0.3
IC50,0.3
EC50,0.3
IC50,0.3
IC50,0.3
EC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.3
IC50,0.299
IC50,0.2966
Kd,0.296
IC50,0.2959
Ki,0.292
Ki,0.291
IC50,0.29
Ki,0.29
EC50,0.29
Kd,0.29
Ki,0.29
IC50,0.29
IC50,0.29
IC50,0.29
IC50,0.289
IC50,0.286
Ki,0.286
Ki,0.286
Ki,0.286
EC50,0.285
Ki,0.285
IC50,0.284
IC50,0.284
Ki,0.283
Ki,0.28
EC50,0.28
EC50,0.28
ED50,0.28
EC90,0.28
IC50,0.28
IC50,0.28
IC50,0.28
Ki,0.28
Ki,0.279
IC50,0.277
Ki,0.277
IC50,0.277
IC50,0.27542
IC50,0.274
IC50,0.274
Ki,0.272
EC50,0.271
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.27
IC50,0.267
IC50,0.266
Ki,0.263
Ki,0.263
Ki,0.261
EC50,0.26
IC50,0.26
IC50,0.26
IC50,0.26
Ki,0.259
IC50,0.25704
IC50,0.257
Ki,0.257
EC50,0.256
IC50,0.25
IC50,0.25
IC50,0.25
Kd,0.25
EC50,0.25
Ki,0.25
Kd,0.25
